,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
2,2017105396,3,5,2022/10/01,8092,7,6,11.0,16,9,7.7,4.0,1,1,1150,56.0,2,1900,4,117.7,37.6,478,-2,0,0,0,0,0,0,1,3859.5
3,2017105396,3,5,2022/08/27,8056,4,5,11.0,15,6,6.6,4.0,1,1,1150,55.0,2,1800,3,111.5,37.6,480,-4,0,0,0,0,0,0,0,2332.9
4,2017105396,3,5,2022/07/24,8022,3,5,11.0,15,11,15.8,6.0,0,1,1150,56.0,2,1700,4,103.9,37.4,484,2,0,0,0,0,0,0,0,930.4
5,2017105396,3,4,2021/11/27,7777,5,6,11.0,17,10,9.7,5.0,0,0,1077,56.0,1,1600,4,93.5,34.7,482,0,0,0,0,0,0,0,0,0.0
6,2017105396,3,4,2021/10/03,7722,7,6,11.0,16,2,5.3,3.0,0,0,1077,56.0,1,1600,4,93.3,35.0,482,2,0,0,0,0,0,0,0,0.0
7,2017105396,3,4,2021/08/01,7658,4,6,11.0,16,4,2.9,1.0,0,0,1174,56.0,1,1800,4,106.3,33.2,480,4,0,0,0,0,0,0,0,0.0
8,2017105396,3,4,2021/05/30,7594,5,5,10.0,18,10,4.5,2.0,1,1,1088,55.0,1,1800,4,104.3,33.8,476,-2,0,0,0,0,0,0,0,1859.2
2,2019104678,3,3,2022/11/03,8125,35,4,12.0,15,4,4.4,2.0,0,1,1014,55.0,2,2000,4,122.5,36.8,501,-1,0,0,0,0,1,0,0,3500.0
3,2019104678,3,3,2022/09/28,8088,43,6,11.0,13,6,5.1,3.0,0,1,1014,54.0,2,1800,4,113.1,39.3,502,0,0,0,0,0,0,1,0,1225.0
4,2019104678,3,3,2022/02/20,7863,5,5,9.0,14,9,4.5,3.0,0,0,5212,56.0,2,1600,2,95.8,35.6,498,10,0,0,0,0,0,0,0,0.0
5,2019104678,3,2,2021/11/07,7757,9,6,9.0,13,13,7.2,4.0,1,1,732,55.0,2,1800,4,113.5,38.3,488,-6,0,0,0,0,0,0,0,1038.0
6,2019104678,3,2,2021/10/03,7722,7,6,4.0,10,3,9.3,5.0,1,1,732,55.0,2,1800,4,115.3,38.7,494,0,0,0,0,0,0,0,0,700.0
3,2019100630,3,3,2022/11/06,8128,9,6,11.0,16,8,4.6,3.0,0,0,660,54.0,2,1800,4,111.7,36.8,466,0,0,0,0,0,0,0,1,600.0
4,2019100630,3,3,2022/10/01,8092,7,6,11.0,16,8,3.7,2.0,0,1,660,53.0,2,1900,4,117.8,37.6,466,-2,0,0,0,0,0,0,1,1517.0
5,2019100630,3,3,2022/08/07,8036,4,6,11.0,15,9,3.7,2.0,0,1,1093,56.0,2,1800,4,112.0,37.9,468,-1,0,0,0,1,0,0,0,1007.7
6,2019100630,3,3,2022/07/13,8011,44,5,11.0,14,3,4.1,2.0,0,0,1093,56.0,2,2000,1,124.9,37.8,469,7,0,1,0,0,0,0,0,600.0
7,2019100630,3,3,2022/05/22,7958,7,6,10.0,10,10,2.0,1.0,1,1,1093,56.0,2,1800,4,113.0,36.5,462,4,0,0,0,0,0,0,0,1924.5
8,2019100630,3,3,2022/03/19,7893,9,5,7.0,10,4,3.7,3.0,1,1,1093,56.0,2,1800,2,111.0,36.4,458,-8,0,0,0,0,0,0,0,750.0
9,2019100630,3,3,2022/01/10,7822,7,6,4.0,15,7,7.3,4.0,1,1,1018,56.0,2,1800,4,114.7,37.9,466,0,0,0,0,0,0,0,0,600.0
3,2017101010,3,5,2022/11/03,8125,35,4,12.0,15,13,1.8,1.0,1,1,1126,57.0,2,2000,4,122.1,36.1,501,6,0,0,0,0,1,0,0,10000.0
4,2017101010,3,5,2022/06/29,7996,44,6,11.0,9,8,1.5,1.0,0,0,1126,57.0,2,2000,4,124.4,38.4,495,-5,0,0,0,0,1,0,0,800.0
5,2017101010,3,5,2022/05/21,7957,7,5,11.0,16,4,1.8,1.0,1,1,1126,59.0,2,1900,4,117.0,35.9,500,0,0,0,0,0,0,0,1,3856.7
6,2017101010,3,4,2021/12/05,7786,7,5,11.0,16,6,3.3,1.0,1,1,1126,57.0,2,1800,4,109.7,35.5,498,6,0,0,0,0,1,0,0,10340.2
7,2017101010,3,4,2021/11/03,7753,46,6,10.0,12,4,2.2,1.0,0,0,1126,57.0,2,2100,4,133.5,36.0,492,-5,0,0,0,0,1,0,0,800.0
8,2017101010,3,4,2021/06/30,7625,44,5,11.0,13,4,7.4,4.0,1,1,1126,57.0,2,2000,2,122.7,36.8,497,3,0,0,0,0,1,0,0,7000.0
9,2017101010,3,4,2021/04/18,7551,9,6,11.0,16,4,2.9,1.0,1,1,1154,56.0,2,1800,2,109.0,37.0,494,0,0,0,0,0,0,0,1,3657.4
4,2018103528,3,4,2022/10/10,8101,35,5,12.0,16,15,5.1,3.0,0,1,1128,57.0,2,1600,1,94.7,36.7,517,8,0,0,0,0,1,0,0,1200.0
5,2018103528,3,4,2022/09/21,8081,42,6,11.0,11,11,1.9,1.0,1,1,1128,55.0,2,1400,2,85.8,35.9,509,-1,0,0,0,0,0,0,1,2500.0
6,2018103528,3,4,2022/08/25,8054,55,6,10.0,12,12,2.1,1.0,1,1,1128,57.0,2,1400,1,85.5,36.6,510,-5,0,0,0,0,0,0,1,3000.0
