,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
0,2019102383,3,4,2023/09/26,8458,46,5,10.0,12,3,1.2,1.0,1,1088,55.0,2,2100,4,131.0,35.9,488,3,0,0,0,0,0,0,0,2500.0
1,2019102383,3,4,2023/07/17,8387,35,5,12.0,13,9,2.2,1.0,1,1088,55.0,2,2000,2,121.8,36.6,485,-1,0,0,0,0,0,0,0,3000.0
2,2019102383,3,4,2023/05/02,8310,48,6,11.0,12,8,3.0,2.0,1,1088,56.0,2,1500,4,91.1,36.2,486,2,0,0,0,0,0,0,0,2800.0
3,2019102383,3,4,2023/03/19,8265,7,6,11.0,16,8,2.0,1.0,0,1157,58.0,2,1800,3,111.1,37.1,484,-10,0,0,0,0,0,0,0,220.0
4,2019102383,3,4,2023/01/05,8189,6,6,9.0,12,9,1.5,1.0,1,5386,57.0,2,1800,4,112.3,37.4,494,8,0,0,0,0,0,0,0,1868.0
0,2019103943,3,4,2023/08/12,8413,10,6,11.0,16,4,2.1,1.0,1,1088,58.0,2,1700,4,102.0,36.3,502,0,0,0,0,0,0,0,0,2233.6
1,2019103943,3,4,2023/06/11,8350,9,5,11.0,15,1,2.1,1.0,1,1088,56.5,2,1800,2,109.9,35.6,502,-4,0,0,0,0,0,0,0,2231.5
2,2019103943,3,4,2023/04/16,8293,9,6,11.0,15,11,6.6,2.0,0,5203,57.0,2,1800,2,109.9,36.9,506,-6,0,0,0,0,0,0,0,957.6
3,2019103943,3,4,2023/02/25,8240,9,6,10.0,16,4,4.7,2.0,1,1174,57.0,2,1800,3,111.1,36.3,512,6,0,0,0,0,0,0,0,1875.0
4,2019103943,3,3,2022/12/17,8170,9,3,9.0,11,7,1.6,1.0,1,1088,56.0,2,1800,3,113.2,37.1,506,8,0,0,0,0,0,0,0,1539.4
0,2018101012,3,5,2023/09/30,8462,9,5,11.0,14,12,43.0,12.0,0,666,58.0,2,2000,4,126.5,38.2,498,8,0,0,0,0,0,0,0,0.0
1,2018101012,3,5,2023/01/22,8206,7,6,11.0,15,12,10.1,5.0,0,666,58.0,2,1800,4,113.6,38.0,490,8,0,0,0,0,0,1,1,0.0
2,2018101012,3,4,2022/11/23,8145,42,3,10.0,11,6,6.9,4.0,1,666,56.0,2,2000,1,126.3,37.9,482,-8,0,0,0,0,0,1,1,4000.0
