,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,3,マルシュロレーヌ,牝4,55,川田将雅,1:43.7,,3.8,2,466(-8),[西] 矢作芳人
1,2,7,11,クリノフラッシュ,牝5,55,和田翼,1:43.9,1.1/4,79.5,13,454(-4),[西] 橋田満
2,3,2,2,キーフラッシュ,牡5,57,小牧太,1:44.2,1.3/4,4.9,3,484(+2),[西] 宮徹
3,4,8,14,グアン,牝5,55,秋山真一,1:44.3,3/4,3.2,1,484(+2),[西] 武幸四郎
4,5,8,13,スズカフェスタ,牡5,57,国分優作,1:44.6,2,82.9,14,502(-8),[西] 大橋勇樹
5,6,6,9,ナンヨーイザヨイ,牡4,57,酒井学,1:44.7,1/2,17.6,7,470(-8),[西] 松永幹夫
6,7,4,6,パレニア,牝4,55,鮫島克駿,1:44.8,3/4,25.7,9,498(-12),[西] 高橋亮
7,8,1,1,サンライズナイト,牡5,57,浜中俊,1:45.1,1.3/4,11.4,5,490(0),[西] 石坂正
8,9,5,8,キタサンタイドー,牡5,57,松山弘平,1:45.2,クビ,17.2,6,508(-8),[西] 清水久詞
9,10,5,7,レンブランサ,牝5,55,川又賢治,1:45.4,1.1/4,24.8,8,450(-2),[西] 宮本博
10,11,3,4,サンキュー,牡7,57,北村友一,1:45.5,3/4,9.4,4,512(-8),[西] 安達昭夫
11,12,6,10,ララメダイユドール,牡6,57,藤懸貴志,1:45.7,1.1/2,44.6,11,506(+8),[西] 今野貞一
12,13,7,12,マイネルラック,牡7,57,幸英明,1:46.5,5,77.1,12,476(0),[西] 梅田智之
13,14,4,5,グレースゼット,牝4,55,藤岡康太,1:47.0,3,33.6,10,516(-2),[西] 宮徹
